"Name","Dosage","Price","Stock","Manufacturer"
"Advair","100/50",50,250,"GlaxoSmithKline"
"Advil","200mg",10,100,"Pfizer"
"Albuterol","90mcg",25,200,"GlaxoSmithKline"
"Amlodipine","5mg",15,150,"Sanofi"
"Amoxicillin","500mg",15,200,"GlaxoSmithKline"
"Celexa","20mg",35,100,"Forest Laboratories"
"Claritin","10mg",15,150,"Sanofi"
"Hydrochlorothiazide","25mg",10,250,"Sanofi"
"Ibuprofen","400mg",8,100,"Johnson & Johnson"
"Lipitor","10mg",20,100,"Pfizer"
"Lisinopril","10mg",12,100,"Sanofi"
"Metformin","500mg",12,250,"Sanofi"
"Nexium","40mg",30,250,"Pfizer"
"Plavix","75mg",30,150,"Bristol-Myers Squibb"
"Singulair","10mg",35,200,"Merck & Co"
"Tylenol","500mg",8,150,"Johnson & Johnson"
"Xanax","15mg",20,145,"Eli-Lily"
"Zithromax","250mg",18,150,"Pfizer"
"Zoloft","50mg",35,200,"Pfizer"
